target_id,total_pop_chg,total_pop_chg_adj,units_chg,units_chg_adj,rgid,county_id,ofm_total_pop,ofm_hhpop,ofm_units,ofm_hh,ofm_gq,ofm_vacancy_by_rgid,ofm_gq_pct,gq_2044,total_pop_2044,hhpop_2044,units_2044,hh_2044,hhsz_2044,king_hhsz,vacancy_rate,hhpop_initial_2044,initial_hhpop_2044_sum_by_rgid,hhpop_rgid_factored_2044,hhpop_factor,emp_chg,emp_chg_adj,control_id_2023,control_name_2023,Emp_TotNoMil_2023,Emp_ConRes_2023,Emp_Military_2023,Emp_Total_2023,TotEmpNoMil-ResCon_2023,emp_2044,res_con_pct,res_con_target_pct,emp_chg_cnty_sum,res_con_emp_chg_cnty_sum,res_con_emp_chg_target,emp_chg_adj_res_con,hh_annual_change,hh_2050,total_pop_annual_change,total_pop_2050,emp_annual_change,emp_2050,gq_2050,hhpop_2050,hhsz_2050
40,,,1748.0,1227.0,4,53033,10489.303407728941,10417.303407728941,4158.099739168939,3867.698627065487,72.0,,0.0011374459703510473,114,13270.0,13156.0,5385.099739168939,5224.0,2.5242175636004682,2.75,3.0,13187.0,222588.0,222071.0,0.9976773231261343,2218,2218,247,North BendNorth Bend UGA,3855,496,0,3855,3359,6200,0.12866407263294422,285.37691309987025,490831.0,13743.268,126.65959937215055,2344.6595993721508,64.58577966354824,5612,132.41412344147898,14064,111.66666666666667,6870,117,13947,2.4852102637205986
41,,,135.0,112.0,4,53033,7224.482536792755,7195.482536792755,2475.499476671219,2383.626498103142,29.0,,0.0004581379602802829,46,7131.0,7085.0,2587.499476671219,2510.0,2.8290838271586596,2.75,3.0,7101.0,222588.0,222071.0,0.9976773231261343,75,0,41,Pacific,1407,539,0,1407,868,1420,0.38308457711442784,28.73134328358209,490831.0,13743.268,12.751909011114364,12.751909011114364,6.017785804612296,2546,0.0,7224,0.6190476190476191,1424,47,7177,2.818931657501964
42,,,2100.0,1455.0,4,53033,68075.38943220075,67959.38943220075,22797.599625617542,22073.222277852743,116.00000000000001,,0.001832551841121132,184,67905.0,67721.0,24252.599625617542,23525.0,2.8854119687811433,2.75,3.0,67879.0,222588.0,222071.0,0.9976773231261343,728,0,42,Sammamish,10670,724,0,10670,9946,10692,0.06785379568884724,49.39756326148079,490831.0,13743.268,21.924252752954963,21.924252752954963,69.13227248320271,23940,0.0,68075,1.0476190476190477,10698,188,67887,2.835714285714286
43,,,10.0,10.0,4,53033,151.65662389993668,151.65662389993668,149.96149897575378,83.96412566304208,0.0,,0.0,0,261.0,261.0,159.96149897575378,155.0,1.692745667825397,2.75,3.0,262.0,222588.0,222071.0,0.9976773231261343,0,0,43,Skykomish,72,3,0,72,69,72,0.041666666666666664,0.0,490831.0,13743.268,0.0,0.0,3.382660682712282,175,5.206827433336349,292,0.0,72,0,292,1.6685714285714286
44,,,719.0,486.0,4,53033,15162.283019781113,15162.283019781113,5128.777989864349,4969.186980783939,0.0,,0.0,0,15537.0,15537.0,5614.777989864349,5446.0,2.8595872857563682,2.75,3.0,15573.0,222588.0,222071.0,0.9976773231261343,4425,4191,252,SnoqualmieSnoqualmie UGA,6911,528,0,6911,6383,11252,0.07639994212125596,338.06974388655766,490831.0,13743.268,150.04639953313873,4341.046399533138,22.70538186743146,5582,17.84366572470892,15644,206.71428571428572,12492,0,15644,2.802579720530276
45,,,10.0,2.0,4,53033,1177.38480527565,1177.38480527565,427.7149673935368,395.50018375060716,0.0,,0.0,0,1160.0,1160.0,429.7149673935368,417.0,2.7899462366841647,2.75,3.0,1163.0,222588.0,222071.0,0.9976773231261343,0,0,45,Yarrow Point,70,1,0,70,69,70,0.014285714285714285,0.0,490831.0,13743.268,0.0,0.0,1.0238007737806112,423,0.0,1177,0.0,70,0,1177,2.7825059101654848
46,,,12.0,12.0,5,53033,179.51857355662756,179.51857355662756,73.12299958297186,63.754428633621764,0.0,,0.0,0,222.0,222.0,85.12299958297186,83.0,2.685238539406718,2.65,3.0,223.0,21651.0,21571.0,0.9963050205533232,0,0,46,Auburn PAA,7,0,0,7,7,7,0.0,0.0,490831.0,13743.268,0.0,0.0,0.9164557793513446,88,2.022925068732021,234,0.0,7,0,234,2.659090909090909
48,,,17.0,17.0,5,53033,46.561999797821045,46.561999797821045,4.98199999332428,2.964000063948334,0.0,,0.0,0,56.0,56.0,21.98199999332428,21.0,2.65,2.65,3.0,56.0,21651.0,21571.0,0.9963050205533232,0,0,48,Bellevue PAA,25,24,0,25,1,25,0.96,0.0,490831.0,13743.268,0.0,0.0,0.8588571398119841,26,0.4494285810561407,59,0.0,25,0,59,2.269230769230769
49,,,328.0,328.0,5,53033,82.34099864959715,82.34099864959715,52.9640007019043,35.84000180056319,0.0,,0.0,0,808.0,808.0,380.9640007019043,370.0,2.1909473840766918,2.65,3.0,811.0,21651.0,21571.0,0.9963050205533232,0,0,49,Black Diamond PAA,5,1,0,5,4,5,0.2,0.0,490831.0,13743.268,0.0,0.0,15.912380866639849,465,34.555190540495374,1015,0.0,5,0,1015,2.182795698924731
51,,,35.0,33.0,5,53033,196.83037823300032,196.83037823300032,80.62265320711357,75.37016453943217,0.0,,0.0,0,273.0,273.0,113.62265320711357,110.0,2.490442416916946,2.65,3.0,274.0,21651.0,21571.0,0.9963050205533232,0,0,51,Issaquah PAA,10,0,0,10,10,10,0.0,0.0,490831.0,13743.268,0.0,0.0,1.6490397838365634,120,3.6271248460476038,295,0.0,10,0,295,2.4583333333333335
