target_id,total_pop_chg,total_pop_chg_adj,county_id,rgid,dec_total_pop,dec_units,dec_hh,dec_gq,dec_hhpop,dec_hhpop_by_target,dec_hh_by_target,dec_hhsz_by_target,dec_hhsz,total_pop_2044,dec_gq_pct,gq_2044,hhpop_2044,hhsz_2044,hh_2044,units_chg,units_chg_adj,king_hhsz,vacancy_rate,units_2044,dec_hhsz_by_rgid,hhpop_initial_2044,initial_hhpop_2044_sum_by_rgid,hhpop_rgid_factored_2044,hhpop_factor,start,emp_chg,emp_chg_adj,control_id_2020,control_name_2020,Emp_TotNoMil_2020,Emp_ConRes_2020,TotEmpNoMil-ResCon_2020,Emp_Military_2020,Emp_Total_2020,emp_2044,hh_annual_change,hh_2050,total_pop_annual_change,total_pop_2050,emp_annual_change,emp_2050,gq_2050,hhpop_2050,hhsz_2050
40,,,53033,4,9999,3953,3746,65,9934,9934,3746,2.6518953550453817,2.6518953550453817,13304,0.0007630720105186541,76,13228,2.4872234324162457,5350,1748.0,1562.0,2.75,3.0,5515.0,2.932069604735992,13307.0,227801.0,226441.0,0.9940298769540081,2019,2218.0,2404.8356937593126,247,North BendNorth Bend UGA,3862,537,3325,0,3862,6266.835693759313,66.83333333333333,5751,137.70833333333334,14130,100.20148723997136,6868,78,14208,2.470526864893062
41,,,53033,4,7194,2466,2381,29,7165,7165,2381,3.009239815203696,3.009239815203696,7099,0.0003404475123852457,34,7065,2.8223782540644335,2518,135.0,130.0,2.75,3.0,2596.0,2.932069604735992,7107.0,227801.0,226441.0,0.9940298769540081,2019,75.0,75.0,41,Pacific,1484,397,1087,0,1484,1559.0,5.708333333333333,2552,-3.9583333333333335,7075,3.125,1578,35,7110,2.7860501567398117
42,,,53033,4,67455,22544,21895,116,67339,67339,21895,3.0755423612696964,3.0755423612696964,67261,0.0013617900495409827,136,67125,2.884563681513697,23410,2007.0,1590.0,2.75,3.0,24134.0,2.932069604735992,67528.0,227801.0,226441.0,0.9940298769540081,2019,305.0,305.0,42,Sammamish,9428,664,8764,0,9428,9733.0,63.125,23789,-8.083333333333334,67212,12.708333333333334,9809,140,67352,2.831224515532389
43,,,53033,4,161,154,86,8,153,153,86,1.7790697674418605,1.7790697674418605,272,9.391655514075743e-05,9,263,1.6685967661076855,159,10.0,10.0,2.75,3.0,164.0,2.932069604735992,265.0,227801.0,226441.0,0.9940298769540081,2019,0.0,0.0,43,Skykomish,64,0,64,0,64,64.0,3.0416666666666665,177,4.625,300,0.0,64,10,310,1.7514124293785311
44,,,53033,4,14871,4961,4825,0,14871,14871,4825,3.082072538860104,3.082072538860104,18008,0.0,0,18008,2.8906883616183623,6267,1500.0,1500.0,2.75,3.0,6461.0,2.932069604735992,18116.0,227801.0,226441.0,0.9940298769540081,2019,4425.0,4059.2761051547836,252,SnoqualmieSnoqualmie UGA,7010,423,6587,0,7010,11069.276105154784,60.083333333333336,6628,130.70833333333334,18792,169.13650438144933,12084,0,18792,2.8352444176222087
45,,,53033,4,1134,412,387,0,1134,1134,387,2.9302325581395348,2.9302325581395348,1117,0.0,0,1117,2.7482770265303054,409,10.0,10.0,2.75,3.0,422.0,2.932069604735992,1124.0,227801.0,226441.0,0.9940298769540081,2019,0.0,22.0,45,Yarrow Point,78,3,75,0,78,100.0,0.9166666666666666,414,-0.7083333333333334,1113,0.9166666666666666,106,0,1113,2.6884057971014492
46,,,53033,5,180,73,64,0,180,180,64,2.8125,2.8125,215,0.0,0,215,2.6705495789555003,82,12.0,12.0,2.65,3.0,85.0,2.7908581285036655,219.0,21946.0,21592.0,0.9838694978583796,2019,0.0,0.0,46,Auburn PAA,6,0,6,0,6,6.0,0.75,86,1.4583333333333333,224,0.0,6,0,224,2.604651162790698
48,,,53033,5,56,5,3,0,56,56,3,18.666666666666668,18.666666666666668,52,0.0,0,52,2.65,20,17.0,16.0,2.65,3.0,21.0,2.7908581285036655,53.0,21946.0,21592.0,0.9838694978583796,2019,0.0,20.0,48,Bellevue PAA,23,22,1,0,23,43.0,0.7083333333333334,24,-0.16666666666666666,51,0.8333333333333334,48,0,51,2.125
49,,,53033,5,86,53,36,0,86,86,36,2.388888888888889,2.388888888888889,825,0.0,0,825,2.268318654717758,370,328.0,328.0,2.65,3.0,381.0,2.7908581285036655,839.0,21946.0,21592.0,0.9838694978583796,2019,0.0,0.0,49,Black Diamond PAA,0,0,0,0,0,0.0,13.916666666666666,454,30.791666666666668,1010,0.0,0,0,1010,2.2246696035242293
51,,,53033,5,207,81,76,0,207,207,76,2.723684210526316,2.723684210526316,201,0.0,0,201,2.586216434356906,79,35.0,0.0,2.65,3.0,81.0,2.7908581285036655,204.0,21946.0,21592.0,0.9838694978583796,2019,0.0,0.0,51,Issaquah PAA,6,0,6,0,6,6.0,0.125,80,-0.25,200,0.0,6,0,200,2.5
