Category,Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Employment - Construction,United States,9816700.195,9668799.805,9900299.805,10337599.61,10965799.81,11413900.39,11400000,10769799.81,9424900.391,8770700.195,8744799.805,8933799.805,9237799.805,9564299.805,9844900.391,10322099.61,10558000,10987799.81,11174299.81,11278000,11395099.61,11875000,12238200.2,12506977.95,12509866.95,12757989.63,12889067.37,12818625.29,12812937.48,12830573.92,12844030.05,12874874.63,12895367.27,12923537.1,12953678.13,12996121.74,13022455.47,13046599.2,13072916.02,13095603.02,13110283.3,13118766.64,13132736.57,13137099.22,13141542.3,13142541.69,13141345.76,13137956.02,13130809.73,13122573.77,13107169.77,13093897.88,13086635.58,13067364.83,13054715.87,13038299.27,13021286.22,13003556.33,12984900.96,12964878.92
Employment - Manufacturing,United States,16921600.11,15745699.88,14975000.13,14790899.86,14724200.03,14675199.97,14460799.97,13971299.87,12478199.99,12092900,12376700.01,12596199.98,12761199.91,12907599.96,13078600.01,13131899.93,13233200.14,13449199.97,13530999.91,12863000.03,13050099.98,13534999.99,13637999.97,13514457.08,13822767.58,14099632.21,14028127.41,14058434.27,14052162.73,14032394.53,13983524.84,13976003.19,13949707.54,13982827,14027987.01,14065123.56,14109401.61,14163492.53,14213823.28,14258415.84,14303314.85,14349340.32,14390184.84,14428373.65,14463387.4,14496721.15,14527705.02,14554927.83,14577385.04,14595352.61,14614888.12,14634142.92,14648164.61,14665717.39,14678791.33,14691444.01,14703287.62,14714201.98,14723896.9,14731806.73
Employment - Wholesale trade,United States,6233399.902,6100799.805,6063500,6183500,6334500,6481799.805,6573600.098,6516600.098,6130299.805,6020000,6154299.805,6240500,6343100.098,6719600.098,6818100.098,6461399.902,6491899.902,6471399.902,6468500,6234000,6401399.902,6755000,6937000,6947049.052,7097187.801,7068540.169,7100526.547,7091880.374,7086782.645,7081931.16,7074808.338,7066222.665,7049390.093,7034990.95,7019765.071,7004249.968,6989057.665,6974396.741,6959339.594,6941755.651,6923086.007,6902668.667,6880381.371,6856553.124,6831769.129,6806212.149,6779628.318,6751688.079,6722019.501,6691377.261,6660397.366,6629188.279,6597988.941,6566662.43,6534704.696,6502757.551,6470720.689,6438562.032,6406189.186,6373391.153
Employment - Retail trade,United States,18257800.78,18187099.61,18219099.61,18359500,18665800.78,18802800.78,18968300.78,18539900.39,17796699.22,17571599.61,17927300.78,18073800.78,18369099.61,18713099.61,19092300.78,19194500,19344099.61,19240900.39,18908000,18407699.22,19086699.22,18833000,18940000,18782566.38,19048682.5,18882480.86,18758819.06,18714059.92,18697384.63,18662782.64,18624749.03,18559326.4,18485701.19,18406938.29,18313918.9,18204025.46,18101495.36,17994922.11,17873253.2,17747722.78,17626260.73,17503858.07,17373299.56,17245501.04,17116296.29,16988516.04,16860221.67,16730287.91,16598247.19,16465376.36,16337025.27,16207869.38,16077591.24,15955200.46,15828299.38,15705316.54,15583827.58,15463780.09,15344925.38,15226751.38
Employment - Transportation and warehousing,United States,5480000.004,5355299.98,5308500.061,5415800.06,5602300.003,5743900.024,5927900.101,5819599.884,5533200.016,5466199.989,5670799.969,5866399.963,6012799.9,6282399.963,6932699.905,7414200.085,7996700.069,8582900.162,9221200.214,9716600.143,10617500.07,11200000.02,11574999.99,11949268.04,12096021.45,12181146.06,12359077.89,12492636.96,12635289.56,12780026.51,12925472.31,13066627.15,13197393.42,13334507.29,13470459.17,13604670.44,13739663.11,13876209.18,14009722.64,14139273.8,14267873.32,14394431.53,14518238.18,14639814.36,14760379.69,14880250.13,14998884.3,15115416.49,15228860.96,15340731.47,15452585.08,15564975.24,15677954.87,15791106.87,15903825.23,16017030.78,16130753.91,16244906.12,16359239.97,16473187.08
Employment - Information,United States,4047800.079,3715200.043,3589399.963,3553099.945,3562699.921,3545500,3555900.024,3510399.933,3310299.988,3222600.067,3229000.031,3224699.951,3264599.976,3326999.939,3316399.963,3384899.963,3404500,3419699.982,3399699.951,3292800.049,3552900.024,3829999.969,3886000.061,3871302.367,3984286.79,4027505.663,4031567.434,4057673.512,4087113.97,4117387.394,4148861.225,4179564.602,4208661.724,4236317.219,4256493.413,4269623.449,4274773.174,4272402.976,4272177.758,4270877.732,4268918.124,4265949.919,4262640.384,4258314.611,4253739.236,4248796.793,4243404.901,4237388.496,4230461.102,4223168.213,4215405.924,4207776.998,4200716.536,4192940.68,4185391.571,4177728.473,4170083.417,4162430.111,4154697.099,4146741.159
Employment - Finance and insurance,United States,7800599.854,7866300.049,7944500,8023000,8199300.049,8361800.049,8789600.098,9107199.951,9464800.049,9200400.146,9747499.756,9700300.049,9815300.293,9620999.756,9845600.098,10188400.15,10250300.05,10657800.29,10462599.85,11347000.24,12030499.76,11973000.24,12263000,12235331.47,12466533,12639918.48,12747952.97,12827546.92,12917173.64,13008355.17,13101966.75,13186486.27,13261408.81,13342574.11,13422927.74,13499842.86,13578405.95,13658964.76,13737205.6,13810324,13881962.17,13951215.65,14016218.06,14078615.61,14139049.91,14198064.53,14255090.39,14309233.22,14359559.04,14407356.5,14454791.57,14501997.04,14548266.48,14594506.4,14639166.76,14683462.16,14727386.92,14770845.97,14813597.05,14855110.49
Employment - Real estate and rental and leasing,United States,5548400.208,5674000.183,6006499.756,6507300.11,7109099.792,7453500.061,7752499.756,7682199.829,7504200.012,7690999.878,7928299.988,7856199.768,8056800.049,8405800.171,8667300.11,8867199.829,9203699.768,9487099.792,9134499.634,9803299.622,10685200.2,10868199.77,11409000,11449594.96,11816290.27,11959038.11,12011401.88,12070654.63,12150899.64,12229841.55,12310258.1,12378333.09,12439210.1,12504908.3,12568050.88,12624968.78,12684814.52,12746663.49,12804037.89,12856020.85,12907027.19,12956058.27,12999474.27,13041053.91,13080139.6,13117801.95,13153288.91,13185650.35,13214150.47,13239734.63,13265708.88,13290833.28,13313574.72,13337900.87,13359161.97,13380307.35,13400856.22,13420735,13439730.82,13457380.73
"Employment - Professional, scientific, and technical services",United States,10271799.81,10163200.2,10266299.81,10680900.39,10922099.61,11316799.81,11920099.61,12117900.39,11720799.81,11753799.81,11961099.61,12212200.2,12544299.81,12864700.2,13333200.2,13496900.39,13849200.2,14298099.61,14456700.2,14389099.61,15149299.81,16157000,16735000,16720310.29,17179851.53,17535224.31,17707292.15,17853717.2,18003715.3,18165122.13,18329520.58,18500763.81,18658061.4,18818986.49,18970979.22,19118044.19,19242531.42,19354443.09,19468116.59,19576149.69,19677442.49,19772901.82,19873228.54,19965201.05,20056467.22,20144587.94,20230160.76,20312524.73,20389905.74,20465360.23,20535158.2,20607021.24,20683763.3,20750801.43,20822872.88,20891918.64,20960638.84,21028861.92,21096238.07,21162019.14
Employment - Management of companies and enterprises,United States,1789300.049,1810000,1773500,1802400.024,1860199.951,1915699.951,1960599.976,2075199.951,2024300.049,2018400.024,2080600.098,2179199.951,2265000,2361300.049,2425500,2603800.049,2568699.951,2721899.902,2751300.049,2709600.098,2753000,2953000,3030000,3027580.393,3123371.992,3178269.796,3215264.418,3251335.769,3288633.281,3326086.439,3362716.494,3399868.506,3433362.801,3471382.159,3508571.132,3544988.169,3581083.95,3617270.442,3652903.918,3687334.63,3721264.704,3754590.186,3787245.018,3819145.325,3850672.549,3881844.938,3912560.225,3942580.995,3971677.258,4000256.669,4028621.538,4057074.962,4085507.335,4113663.328,4141669.495,4169527.511,4197333.517,4225056.812,4252624.575,4279882.982
